band_name,fans,formed,origin,split,style,soup
Liquorworks,2,2006,Finland,-,Experimental progressive,Experimental progressive Finland
Lody Kong,2,2011,USA,2011,Crossover thrash Hardcore Punk,Crossover thrash Hardcore Punk USA
Lonely Kamel,2,2005,Norway,-,Stoner rock,Stoner rock Norway
Looking For An Answer,2,1999,Spain,1999,Grindcore,Grindcore Spain
Lunar Path,2,2006,Finland,-,Gothic,Gothic Finland
Lunarium,2,2005,USA,2005,Folk,Folk USA
Malrun,2,2005,Denmark,-,Melodic hard rock,Melodic hard rock Denmark
Man Made Origin,2,2008,United Kingdom,2008,Progressive,Progressive United Kingdom
Maniac Butcher,2,1992,Czech Republic,-,Black,Black Czech Republic
Marche Funèbre,2,2007,Belgium,2007,Death Doom,Death Doom Belgium
Marseille,2,1976,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Mastermind,2,1986,USA,1986,Progressive rock Symphonic rock Fusion  Progressive Instrumental,Progressive rock Symphonic rock Fusion  Progressive Instrumental USA
Masterstroke,2,2002,Finland,-,Heavy,Heavy Finland
Means End,2,2011,Sweden,2011,Progressive,Progressive Sweden
Mena Brinno,2,2006,USA,-,Gothic Symphonic,Gothic Symphonic USA
Mephistopheles,2,2004,Australia,2004,Technical death,Technical death Australia
Merkabah,2,2002,Canada,-,Heavy,Heavy Canada
Methadone Skies,2,2009,Romania,2009,Atmospheric sludge Stoner Psychedelic rock,Atmospheric sludge Stoner Psychedelic rock Romania
Moon (POL),2,1996,Poland,-,Black Death,Black Death Poland
Mordbrand,2,2006,Sweden,2006,Death,Death Sweden
Morgain,2,1995,Slovak Republic,2015,Atmospheric doom Folk,Atmospheric doom Folk Slovak Republic
Morian,2,2002,Finland,2002,Gothic Heavy,Gothic Heavy Finland
Myopia,2,2003,USA,2011,Progressive,Progressive USA
Myrah,2,2005,Sweden,2005,Gothic,Gothic Sweden
Mysto Dysto,2,1983,The Netherlands,1987,Speed Thrash,Speed Thrash The Netherlands
N R C S S S T,2,2011,"Lithuania, Germany",2011,Atmospheric black Post-metal Shoegaze,Atmospheric black Post-metal Shoegaze Lithuania Germany
N.I.L.,2,2004,USA,-,Black Doom,Black Doom USA
Naamah,2,1996,Poland,1996,Gothic Progressive,Gothic Progressive Poland
Nailed,2,2000,United Kingdom,-,Brutal death,Brutal death United Kingdom
Nasty Idols,2,1987,Sweden,1987,Heavy Glam Glam rock,Heavy Glam Glam rock Sweden
Natron,2,1992,Italy,-,Death,Death Italy
Nebukadnezza,2,2002,United Kingdom,2002,Death Thrash Hardcore,Death Thrash Hardcore United Kingdom
Necromancing The Stone,2,2014,USA,-,Melodic death,Melodic death USA
Nerve End,2,2009,Finland,2009,Alternative Progressive,Alternative Progressive Finland
Next To None,2,2013,USA,-,Progressive,Progressive USA
Night Viper,2,2014,Sweden,2014,Heavy,Heavy Sweden
Nightly Gale,2,1996,Poland,-,Black Doom,Black Doom Poland
Noctum,2,2009,Sweden,2009,Doom Heavy Hard rock,Doom Heavy Hard rock Sweden
Non Serviam,2,1995,Sweden,-,Death,Death Sweden
North (USA),2,2005,USA,2005,Post-metal Sludge,Post-metal Sludge USA
Northern Plague,2,2009,Poland,-,Black Death,Black Death Poland
NunFuckRitual,2,2006,Norway,2006,Black,Black Norway
Nycticorax,2,2003,Latvia,-,Black,Black Latvia
Oblivionized,2,2008,United Kingdom,2008,Technical death Grindcore,Technical death Grindcore United Kingdom
Obsidian Sea,2,2009,Bulgaria,-,Doom,Doom Bulgaria
Ocultan,2,1994,Brazil,1994,Black,Black Brazil
Odyssey,2,1989,Spain,-,Progressive,Progressive Spain
Ogre,2,1999,USA,1999,Doom Hard rock,Doom Hard rock USA
Oleg Izotov,2,2003,Russia,-,Alternative Instrumental heavy,Alternative Instrumental heavy Russia
One Step Beyond,2,1997,Australia,1997,Experimental death,Experimental death Australia
Onirism,2,2014,France,-,Symphonic black,Symphonic black France
Op?a Opasnost,2,1992,Croatia,1992,Hard rock,Hard rock Croatia
Orchid's Curse,2,2005,Canada,-,Metalcore,Metalcore Canada
Ordinul Negru,2,2004,Romania,2004,Black,Black Romania
Oxiplegatz,2,1993,Sweden,1998,Avantgarde,Avantgarde Sweden
Pain Principle,2,1993,USA,1993,Thrash Death,Thrash Death USA
Paragon Of Beauty,2,1994,Germany,2001,Gothic,Gothic Germany
Paramnesia,2,2005,France,2005,Black,Black France
Phantom,2,2005,Denmark,-,Black,Black Denmark
Protean,2,2013,Latvia,2013,Black,Black Latvia
Psudoku,2,2010,Norway,-,Avantgarde Grindcore,Avantgarde Grindcore Norway
Pure Inc,2,2001,Switzerland,2001,Hard rock Alternative,Hard rock Alternative Switzerland
Pyrrhon,2,2008,USA,-,Technical death,Technical death USA
Quinta Essentia,2,2004,USA,2004,Black Death,Black Death USA
Reality Grey,2,2004,Italy,-,Melodic death,Melodic death Italy
Realmbuilder,2,2008,USA,2008,Epic doom Heavy,Epic doom Heavy USA
Resurrecturis,2,1990,Italy,-,Death,Death Italy
Retriem,2,2003,Russia,2003,Power,Power Russia
Rev 16:8,2,2008,Sweden,2012,Black,Black Sweden
Revelation's Hammer,2,2007,Norway,2007,Black,Black Norway
Romuvos,2,2014,Lithuania,-,Folk,Folk Lithuania
Rudhira,2,2010,Norway,2010,Progressive,Progressive Norway
Sabachthani,2,2002,Sweden,-,Gothic Doom,Gothic Doom Sweden
Sadistic Gore,2,2004,Brazil,2004,Death,Death Brazil
Sandalinas,2,2001,Spain,-,Melodic progressive,Melodic progressive Spain
Santo Rostro,2,2013,Spain,2013,Doom Stoner,Doom Stoner Spain
Saracen,2,1976,United Kingdom,-,New wave of british heavy Heavy Progressive,New wave of british heavy Heavy Progressive United Kingdom
Sarcofagus,2,1977,Finland,1977,Progressive heavy,Progressive heavy Finland
Sargatanas Reign,2,1997,Sweden,2008,Death,Death Sweden
Scald (RUS),2,1993,Russia,1993,Epic doom,Epic doom Russia
Scar Of The Sun,2,2004,"United Kingdom, Greece",-,Gothic doom,Gothic doom United Kingdom Greece
Scarblade,2,2015,"Greece, Sweden",2015,Heavy,Heavy Greece Sweden
Sea Witch,2,2014,Canada,-,Blackened doom Sludge,Blackened doom Sludge Canada
Seamount,2,2007,Germany,2007,Doom,Doom Germany
Sectu,2,2005,Sweden,-,Death,Death Sweden
Sedna,2,2009,Italy,2009,Black Sludge,Black Sludge Italy
Seita,2,2007,The Netherlands,-,Death Thrash,Death Thrash The Netherlands
Septic Death,2,1981,USA,1981,Hardcore,Hardcore USA
Serpent Omega,2,2011,Sweden,-,Doom Sludge,Doom Sludge Sweden
Serpent Venom,2,2008,United Kingdom,2008,Doom,Doom United Kingdom
Severed,2,2014,Iceland,-,Brutal death Technical death,Brutal death Technical death Iceland
Shadow Of The Colossus,2,2009,USA,2009,Deathcore,Deathcore USA
Shallow Rivers,2,2007,Russia,-,Death doom Atmospheric doom,Death doom Atmospheric doom Russia
Shaman (FIN),2,1997,Finland,1997,Folk,Folk Finland
Shannon,2,1998,France,-,Hard rock Heavy,Hard rock Heavy France
Shatterpoint,2,2001,Canada,2001,Power Thrash,Power Thrash Canada
Shredding The Envelope,2,2008,USA,-,Heavy Thrash,Heavy Thrash USA
Silent Memorial,2,1992,Switzerland,1992,Heavy Progressive,Heavy Progressive Switzerland
Siren,2,2012,USA,-,Black Doom Heavy,Black Doom Heavy USA
Sirocco,2,2003,Ireland,2003,Heavy Folk Thrash,Heavy Folk Thrash Ireland
Skraeckoedlan,2,2009,Sweden,-,Psychedelic stoner,Psychedelic stoner Sweden
Slabdragger,2,2008,United Kingdom,2008,Doom Sludge,Doom Sludge United Kingdom
Slidhr,2,2005,Ireland,-,Black,Black Ireland
Slivers Cross,2,2008,Latvia,2008,Metalcore Alternative,Metalcore Alternative Latvia
Slow,2,2007,Belgium,-,Atmospheric doom Funeral doom,Atmospheric doom Funeral doom Belgium
Solifvgae,2,2014,Brazil,2014,Atmospheric black Post-metal,Atmospheric black Post-metal Brazil
Sonic Reign,2,1997,Germany,-,Black,Black Germany
Sorrowful,2,2009,Sweden,2009,Death doom,Death doom Sweden
Sorrowful Angels,2,1999,Greece,-,Gothic,Gothic Greece
Soul Dissolution,2,2012,Belgium,2012,Black,Black Belgium
Soulless,2,1997,USA,-,Melodic death Thrash,Melodic death Thrash USA
Sourvein,2,1993,USA,1993,Doom Sludge,Doom Sludge USA
Spaceking,2,2009,Russia,-,Progressive Progressive rock Stoner rock Stonerinstrumental,Progressive Progressive rock Stoner rock Stonerinstrumental Russia
Spartan Warrior,2,1980,United Kingdom,1980,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Splattered Mermaids,2,2005,Sweden,2015,Brutal death Grindcore,Brutal death Grindcore Sweden
Srogo??,2,2013,Poland,2013,Black,Black Poland
Standing Ovation,2,2006,Finland,-,Progressive,Progressive Finland
Station Dysthymia,2,2007,Russia,2007,Funeral doom,Funeral doom Russia
T?zmadár,2,1999,Hungary,-,Power,Power Hungary
Tanagra,2,2010,USA,2010,Us power Heavy,Us power Heavy USA
Tempestuous Fall,2,2011,Australia,2013,Funeral doom Death doom,Funeral doom Death doom Australia
Temple Of Evil,2,2008,Cyprus,2008,Black,Black Cyprus
Terror Empire,2,2009,Portugal,-,Groove thrash,Groove thrash Portugal
Tesa,2,2005,Latvia,2005,Post-metal Sludge Hardcore,Post-metal Sludge Hardcore Latvia
The Arson Project,2,2005,Sweden,-,Grindcore,Grindcore Sweden
The Batallion,2,2006,Norway,2006,Thrash,Thrash Norway
The Belonging,2,1998,United Kingdom,-,Blackened death,Blackened death United Kingdom
The Doomsday Kingdom,2,2016,Sweden,2016,Doom,Doom Sweden
The Earls Of Mars,2,2012,United Kingdom,-,Avantgarde,Avantgarde United Kingdom
The Everdawn,2,1993,Sweden,1993,Melodic death,Melodic death Sweden
The Experiment No.Q,2,2012,Italy,-,Progressive,Progressive Italy
The Night Flight Orchestra,2,2007,Sweden,2007,Hard rock,Hard rock Sweden
The Oracle,2,2006,Canada,2011,Extreme progressive,Extreme progressive Canada
The Order Of Chaos,2,2003,Canada,2003,Heavy Power Thrash,Heavy Power Thrash Canada
The Silent Wedding,2,2006,Greece,-,Heavy,Heavy Greece
The Wakedead Gathering,2,2007,USA,2007,Death,Death USA
Theories,2,2010,USA,-,Deathgrind,Deathgrind USA
Those Who Bring The Torture,2,2007,Sweden,2007,Death Grindcore,Death Grindcore Sweden
Throes Of Sanity,2,-,USA,-,Us power,Us power USA
Titaan,2,2015,Italy,2015,Black,Black Italy
Tribune,2,2004,Canada,-,Melodic thrash Progressive,Melodic thrash Progressive Canada
Trimonium,2,1998,Germany,1998,Pagan black,Pagan black Germany
Triumfall,2,2006,Serbia,-,Black,Black Serbia
Trophallaxy,2,2007,Swaziland,2007,Power Symphonic,Power Symphonic Swaziland
Unchained,2,1998,Sweden,2006,Heavy,Heavy Sweden
Unholy Matrimony,2,2000,Switzerland,2000,Black,Black Switzerland
Unwritten Pages,2,2005,The Netherlands,-,Progressive,Progressive The Netherlands
Urban Tales,2,2005,Portugal,2005,Gothic rock Alternative,Gothic rock Alternative Portugal
Usurpress,2,2010,Sweden,-,Death,Death Sweden
Vôdûn,2,2012,United Kingdom,2012,Stoner Psychedelic rock,Stoner Psychedelic rock United Kingdom
Vaalnor,2,2009,Switzerland,-,Folk,Folk Switzerland
Valkenrag,2,2006,Poland,2006,Melodic death,Melodic death Poland
Vardis,2,1973,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Venin Noir,2,2001,Brazil,2001,Gothic,Gothic Brazil
Vermilion,2,2008,Romania,2015,Experimental black,Experimental black Romania
VII Gates,2,1999,Sweden,1999,Heavy Progressive power,Heavy Progressive power Sweden
Villainy,2,2010,The Netherlands,-,Blackened thrash Crust Punk,Blackened thrash Crust Punk The Netherlands
Vise Versa,2,2012,France,2012,Alternative,Alternative France
Vista Chino,2,2010,USA,2014,Stoner rock,Stoner rock USA
Vitriol,2,2007,Italy,2007,Progressive,Progressive Italy
Void Of Sleep,2,2010,Italy,-,Sludge,Sludge Italy
Vomitile,2,2007,Cyprus,2007,Death Thrash,Death Thrash Cyprus
Vox Tempus,2,2003,USA,-,Progressive,Progressive USA
Wells Valley,2,2011,Portugal,2011,Progressive sludge Post-metal,Progressive sludge Post-metal Portugal
When Woods Make Graves,2,2011,United Kingdom,-,Atmospheric black,Atmospheric black United Kingdom
Whitehorse,2,2004,Australia,2004,Drone doom Sludge,Drone doom Sludge Australia
Wilt,2,2010,Canada,-,Atmospheric black,Atmospheric black Canada
Winds Of Torment,2,2001,France,2001,Melodic death,Melodic death France
Witchbound,2,2013,Germany,-,Melodic power Heavy,Melodic power Heavy Germany
Within The Fall,2,2010,Sweden,2010,Death doom,Death doom Sweden
WIZ,2,1996,Sweden,-,Power,Power Sweden
Woburn House,2,2005,Germany,2005,Post-metal,Post-metal Germany
Wolvserpent,2,2005,USA,-,Drone doom,Drone doom USA
Woods Of Belial,2,1995,Finland,1995,Black Funeral doom Industrial doom Doom,Black Funeral doom Industrial doom Doom Finland
Worth Dying For,2,2002,Canada,-,Progressive death Melodic death,Progressive death Melodic death Canada
Yawarhiem,2,2005,Peru,2005,Symphonic power Folk,Symphonic power Folk Peru
Yogth Sothoth,2,2003,Colombia,-,Brutal death,Brutal death Colombia
Zavorash,2,1996,Sweden,1996,Black,Black Sweden
11Paranoias,1,2011,United Kingdom,-,Doom Sludge,Doom Sludge United Kingdom
48 Crash,1,1975,Germany,1975,Progressive rock Heavy,Progressive rock Heavy Germany
7 H. Target,1,2005,Russia,-,Brutal death,Brutal death Russia
A Gruesome Find,1,1998,USA,1998,Blackened death,Blackened death USA
A New Dawn,1,1997,The Netherlands,-,Gothic Symphonic,Gothic Symphonic The Netherlands
Abhorrent,1,2007,USA,2007,Brutal death Technical death,Brutal death Technical death USA
Absconditus,1,2010,France,-,Black,Black France
Acrosome,1,2009,Turkey,2009,Depressive black Dark ambient,Depressive black Dark ambient Turkey
Adagio (BRA),1,1995,Brazil,-,Death doom,Death doom Brazil
Aeon Throne,1,2010,Norway,2010,Black Death,Black Death Norway
Against Nature,1,2004,USA,-,Doom Hard rock Progressive rock,Doom Hard rock Progressive rock USA
Against Tolerance,1,2009,Brazil,2009,Metalcore Experimental thrash,Metalcore Experimental thrash Brazil
Age Of Woe,1,2010,Sweden,-,Death Crust Punk,Death Crust Punk Sweden
Airdash,1,1986,Finland,1986,Thrash,Thrash Finland
Akem Manah,1,2007,Belgium,-,Death Doom,Death Doom Belgium
Akem Manah (USA),1,2009,USA,2009,Death doom,Death doom USA
Akhenaten,1,2012,USA,-,Black Death,Black Death USA
Aktor,1,2013,Finland,2013,Psychedelic hard rock Heavy,Psychedelic hard rock Heavy Finland
Alien Syndrome 777,1,2007,Italy,-,Avantgarde black,Avantgarde black Italy
Alkimya,1,2004,France,2004,Progressive,Progressive France
Alkoholizer,1,2006,"Italy, Spain",-,Thrash,Thrash Italy Spain
Amor E Morte,1,2004,Bulgaria,2004,Gothic Symphonic black,Gothic Symphonic black Bulgaria
Ancient Altar,1,2013,USA,-,Sludge Doom,Sludge Doom USA
Andacht,1,2008,USA,2008,Atmospheric black,Atmospheric black USA
Angmaer,1,2013,United Kingdom,-,Black,Black United Kingdom
Angrepp,1,2005,Sweden,2005,Black Thrash,Black Thrash Sweden
Anima Tempo,1,2009,Mexico,-,Progressive death,Progressive death Mexico
Antagonist Zero,1,2010,Finland,2010,Death doom,Death doom Finland
Antlion,1,2012,Canada,-,Progressive death,Progressive death Canada
Apa Simbetii,1,2009,Romania,2009,Progressive death Black,Progressive death Black Romania
Apathie,1,2009,Germany,-,Black,Black Germany
Aposthate,1,2004,Italy,2004,Brutal death,Brutal death Italy
Arbitrator (CAN),1,2010,Canada,-,Industrial death,Industrial death Canada
Architects Of Chaoz,1,2014,Germany,2014,Heavy,Heavy Germany
Armahda,1,2011,Brazil,-,Heavy Power,Heavy Power Brazil
Arryan Path,1,1997,"USA, Cyprus",1997,Heavy Power,Heavy Power USA Cyprus
Arsh Anubis,1,2011,USA,-,Black,Black USA
Artisian,1,2004,United Kingdom,2004,Black Death,Black Death United Kingdom
As Autumn Calls,1,2005,Canada,-,Death Doom,Death Doom Canada
Ashen Horde,1,2013,USA,2013,Progressive black,Progressive black USA
Ashtar,1,2012,Switzerland,-,Sludge Drone,Sludge Drone Switzerland
Aspectra,1,2014,Norway,2014,Black Death,Black Death Norway
Astral Tears,1,2009,France,-,Progressive Alternative,Progressive Alternative France
Asymmetry,1,2011,Serbia,2011,Progressive,Progressive Serbia
Aurinko,1,2011,Canada,2013,Doom Folk,Doom Folk Canada
Autumn: Death,1,2011,Sweden,2011,Melodic black Melodic death,Melodic black Melodic death Sweden
Axial Lead,1,2011,Romania,-,Progressive,Progressive Romania
Azavatar,1,2013,Germany,2013,Black,Black Germany
Baptists,1,2010,Canada,-,Hardcore Punk,Hardcore Punk Canada
Basement Torture Killings,1,2007,United Kingdom,2007,Death,Death United Kingdom
Bask,1,2013,USA,-,Post-metal Stoner rock Psychedelic rock,Post-metal Stoner rock Psychedelic rock USA
Battlezone,1,1985,United Kingdom,1985,Groove thrash Heavy,Groove thrash Heavy United Kingdom
Beaten Back To Pure,1,1998,USA,-,Doom Sludge,Doom Sludge USA
Before God,1,1997,USA,1997,Black Folk,Black Folk USA
Bersimbah Darah,1,2007,Indonesia,-,Deathgrind,Deathgrind Indonesia
Beyond The Flesh,1,2000,USA,2000,Melodic death,Melodic death USA
Bhleg,1,2013,Sweden,-,Atmospheric black,Atmospheric black Sweden
Black Succubi,1,2005,Denmark,2005,Heavy,Heavy Denmark
Blackened,1,1997,Germany,2007,Heavy Power,Heavy Power Germany
Blackwelder,1,2012,USA,2012,Power,Power USA
Blade Of Spirit,1,1996,Greece,-,Power,Power Greece
Blastanus,1,2007,Finland,2007,Brutal death Grindcore,Brutal death Grindcore Finland
Blliigghhtted,1,2014,Turkey,-,Experimental black,Experimental black Turkey
Bloodgut,1,2004,Sweden,2004,Death,Death Sweden
Blustery Caveat,1,2002,Greece,-,Brutal death,Brutal death Greece
Born From Ruins,1,2009,USA,2009,Alternative Hard rock,Alternative Hard rock USA
Brainchoke,1,2000,United Kingdom,-,Grindcore Death,Grindcore Death United Kingdom
Bubonic Wrath,1,2005,USA,2005,Black Death Thrash,Black Death Thrash USA
Burnsred,1,2007,USA,-,Progressive sludge Doom Post-metal,Progressive sludge Doom Post-metal USA
Burweed,1,2009,Finland,2009,Atmospheric sludge Post-metal,Atmospheric sludge Post-metal Finland
Cadmium,1,2010,France,-,Symphonic,Symphonic France
Cannibal Accident,1,2007,Finland,2007,Grindcore,Grindcore Finland
Cara Neir,1,2008,USA,-,Experimental black,Experimental black USA
Carry The Storm,1,2008,USA,2008,Thrash Death,Thrash Death USA
Castrator,1,2013,USA,-,Death,Death USA
Casual Silence,1,1993,The Netherlands,1993,Progressive,Progressive The Netherlands
Cat O' Nine Tails,1,2012,Finland,-,Folk Symphonic power,Folk Symphonic power Finland
Ceremonia,1,2011,France,2011,Atmospheric doom,Atmospheric doom France
Cetacean,1,2015,USA,-,Doom Sludge,Doom Sludge USA
Chrome Waves,1,2010,USA,2010,Atmospheric black Post-metal,Atmospheric black Post-metal USA
Citizen,1,2004,USA,2011,Grindcore,Grindcore USA
Code Of Nelson's Folly,1,2012,Croatia,2012,Folk,Folk Croatia
Cold Night For Alligators,1,2008,Denmark,-,Progressive math Djent,Progressive math Djent Denmark
Collateral Damage,1,2004,Italy,2004,Heavy,Heavy Italy
Collide,1,2003,Latvia,-,Thrash,Thrash Latvia
Coltsblood,1,2010,United Kingdom,2010,Doom Sludge,Doom Sludge United Kingdom
Conjuro Nuclear,1,2012,Spain,-,Black Darkwave,Black Darkwave Spain
Contemplator,1,2011,Canada,2011,Progressive Instrumental,Progressive Instrumental Canada
Corr Mhóna,1,2009,Ireland,-,Doom Heavy Celtic black,Doom Heavy Celtic black Ireland
Corrupted Melody,1,1995,Slovak Republic,1995,Death Atmospheric doom,Death Atmospheric doom Slovak Republic
Crépuscule,1,2007,Canada,-,Atmospheric black,Atmospheric black Canada
Cryogenic,1,1993,Germany,1993,Symphonic black,Symphonic black Germany
Crypt Of Kerberos,1,1990,Sweden,-,Death doom Progressive death,Death doom Progressive death Sweden
Cursed 13,1,1998,Sweden,1998,Black,Black Sweden
Daedalus,1,2000,Italy,-,Progressive,Progressive Italy
Dalkhu,1,2003,Slovenia,2003,Black Death,Black Death Slovenia
Dark Covenant,1,2009,Canada,-,Doom,Doom Canada
Dark Wings Syndrome,1,2008,Portugal,2008,Gothic Progressive,Gothic Progressive Portugal
Darkall Slaves,1,2005,France,-,Brutal death,Brutal death France
Darkened Souls,1,2006,Finland,2006,Doom Melodic death,Doom Melodic death Finland
DarkRise,1,1998,Switzerland,-,Brutal death,Brutal death Switzerland
